Reg_id,Gender,Age,Construction,New Construction,Elevator,Floors,Floor_area,Rooms,Bathrooms,Ceiling_height,Floor,Balcony,Furnished,Renovation,Children Welcome,Pets Allowed,Utility Payments,Address,Price,Currency,Duration,Date,Amenities,Appliances,Parking,Index,EXCLUDED_ID,REASON,Monthly USD Price
1,Female,25,stone,False,True,7.0,18.0,1.0,1.0,3.0,5.0,0,partial_furniture,cosmetic_renovation,1.0,0.0,0.0,"Улица Давида Анахта 6, Ереван",110000.0,AMD,monthly,2023-01-07,television,fridge,,A112,112,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1412.4079277090136
1,Male,34,monolith,True,True,22.0,125.0,3.0,2.0,3.0,20.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,"Sayat Nova avenue, Yerevan",3000.0,USD,monthly,2023-01-07,,,,A120,120,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,2354.013212848356
1,Female,46,monolith,False,True,12.0,26.0,1.0,1.0,3.2,1.0,0,2,euro_renovation,2.0,0.0,0.0,"Նանսենի փողոց 20, Երևան",125000.0,AMD,monthly,2023-01-07,,,,A129,129,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1177.006606424178
1,Female,21,panels,False,True,9.0,88.0,3.0,1.0,2.8,3.0,open_balcony,,designer_renovation,0.0,0.0,0.0,"Mesrop Mashtots Avenue 15, Yerevan",40000.0,AMD,daily,2023-01-07,,,,A133,133,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1177.006606424178
1,Female,27,stone,False,False,4.0,65.0,2.0,1.0,2.8,4.0,open_balcony,1,partial_renovation,2.0,2.0,0.0,"Yeghbayrutyan Street, Yerevan",170000.0,AMD,monthly,2023-01-07,,,,A135,135,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1883.2105702786848
1,Female,32,stone,False,False,5.0,50.0,2.0,1.0,2.8,3.0,0,,cosmetic_renovation,0.0,0.0,0.0,"Artashisyan street, Yerevan",170000.0,AMD,monthly,2023-01-07,,,,A136,136,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1961.67767737363
1,Male,66,stone,False,False,5.0,32.0,1.0,1.0,2.8,1.0,0,,cosmetic_renovation,0.0,0.0,0.0,"Bagratunyats Avenue, Yerevan",150000.0,AMD,monthly,2023-01-07,,,,A140,140,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1804.7434631837396
1,Female,51,stone,False,False,5.0,42.0,2.0,1.0,2.7,4.0,closed_balcony,1,cosmetic_renovation,1.0,2.0,0.0,"Gyulikekhvyan street, Yerevan",150000.0,AMD,monthly,2023-01-07,television,"fridge,_stove,_washing_machine",outdoor_parking,A142,142,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,2275.5461057534108
1,Female,66,panels,False,True,6.0,21.0,1.0,1.0,2.7,6.0,closed_balcony,1,cosmetic_renovation,0.0,0.0,0.0,"Griboyedov street, Yerevan",180000.0,AMD,monthly,2023-01-07,television,"fridge,_stove,_coffee_maker,_washing_machine,_water_heater",outdoor_parking,A148,148,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1333.9408206140683
1,Male,61,stone,False,False,4.0,30.0,1.0,1.0,3.0,2.0,open_balcony,1,cosmetic_renovation,2.0,2.0,0.0,"Արցախի պողոտա, Երևան",200000.0,AMD,monthly,2023-01-07,,,,A149,149,Address was Missing; The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1569.342141898904
1,Male,34,monolith,True,True,18.0,65.0,2.0,1.0,3.0,13.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,"Leo street 1, Yerevan",700000.0,AMD,monthly,2023-01-07,"television,_air_conditioner,_internet",fridge,,A152,152,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,2197.0789986584655
1,Male,24,monolith,True,True,15.0,65.0,2.0,1.0,3.0,8.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,"Buzand St 87, Yerevan",650000.0,AMD,monthly,2023-01-07,"television,_air_conditioner,_internet","fridge,_stove,_microwave,_dishwasher",outdoor_parking,A156,156,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,941.6052851393424
1,Male,65,stone,False,False,3.0,40.0,1.0,1.0,3.5,2.0,open_balcony,partial_furniture,partial_renovation,0.0,0.0,2.0,"Улица Абовяна, Yerevan",100000.0,AMD,monthly,2023-01-07,internet,"fridge,_dishwasher,_washing_machine,_iron,_hair_dryer",outdoor_parking,A157,157,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1177.006606424178
1,Male,39,stone,False,False,5.0,100.0,3.0,2.0,2.8,5.0,multiple_balconies,1,no_renovation,2.0,0.0,0.0,"Դավիթ Մալյան փողոցի նրբանցք 1, Երևան",180000.0,AMD,monthly,2023-01-07,,,,A158,158,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1098.5394993292327
1,Female,29,panels,False,True,9.0,61.0,2.0,1.0,2.6,4.0,0,1,old_renovation,2.0,2.0,0.0,"Arno Babajanian street 51/1, Yerevan",180000.0,AMD,monthly,2023-01-07,,"fridge,_stove,_washing_machine",outdoor_parking,A160,160,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1569.342141898904
1,Male,21,stone,False,False,5.0,55.0,2.0,1.0,2.75,2.0,0,1,major_renovation,1.0,0.0,0.0,"Ավանեսովի փողոց, Երևան",170000.0,AMD,monthly,2023-01-07,"television,_internet,_parking_space","fridge,_washing_machine",outdoor_parking,A161,161,Address was Missing; The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1020.0723922342876
1,Male,63,panels,False,True,9.0,70.0,2.0,2.0,2.75,9.0,closed_balcony,1,partial_renovation,2.0,0.0,0.0,"Ջրվեժի 2-րդ փողոց, Երևան",170000.0,AMD,monthly,2023-01-07,"television,_internet","fridge,_stove,_microwave,_coffee_maker,_washing_machine,_water_heater",,A165,165,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,941.6052851393424
